tag_id,tag_name,tag_category,parent_category,description,syllabus_weight,difficulty_indicator,related_tags,example_usage
1,Preliminary Phase,ADM Phases,Primary Category,Framework establishment; principles; organizational context,10-15%,Medium,"Architecture Principles,Architecture Governance Framework,Organizational Structure",Questions about establishing EA capability or defining architecture principles
2,Phase A: Architecture Vision,ADM Phases,Primary Category,Business context; stakeholder concerns; scope definition,10-15%,Medium,"Stakeholder Management,Architecture Vision,Business Scenarios",Questions about defining scope or engaging stakeholders at project start
3,Phase B: Business Architecture,ADM Phases,Primary Category,Business capabilities; value streams; organization mapping,30-40%,High,"Business Capabilities,Value Streams,Business Scenarios,Gap Analysis",Questions about understanding current business or defining target business architecture
4,Phase C: Data Architecture,ADM Phases,Primary Category,Data entities; data management; data governance,30-40%,High,"Data Governance,Data Integration,Building Blocks,Gap Analysis",Questions about data quality; data consolidation; authoritative data sources
5,Phase C: Application Architecture,ADM Phases,Primary Category,Application portfolios; application integration,30-40%,High,"Integration Architecture,Application Building Blocks,Gap Analysis",Questions about application rationalization or integration strategies
6,Phase D: Technology Architecture,ADM Phases,Primary Category,Technology platforms; infrastructure; deployment,30-40%,Medium,"Technology Architecture,Technology Building Blocks,Gap Analysis",Questions about infrastructure decisions or technology standards
7,Phase E: Opportunities & Solutions,ADM Phases,Primary Category,Implementation planning; work packages; transition architectures,20-25%,Very High,"Transition Architecture,Implementation Roadmap,Work Packages,Capability-Based Planning",Questions about converting architecture into implementation approach or sequencing initiatives
8,Phase F: Migration Planning,ADM Phases,Primary Category,Implementation roadmap; project sequencing; dependencies,20-25%,Very High,"Migration Planning,Implementation Roadmap,Dependencies,Sequencing",Questions about detailed migration planning or managing implementation dependencies
9,Phase G: Implementation Governance,ADM Phases,Primary Category,Architecture compliance; implementation oversight,15-20%,High,"Architecture Compliance,Architecture Contracts,Governance,Compliance Assessment",Questions about ensuring implementation follows architecture or managing dispensations
10,Phase H: Architecture Change Management,ADM Phases,Primary Category,Change processes; continuous monitoring,15-20%,Medium,"Change Management,Architecture Governance,Monitoring",Questions about managing ongoing architecture evolution or handling change requests
11,Requirements Management,ADM Phases,Primary Category,Requirements capture; traceability; change control,15-20%,Medium,"Requirements Traceability,Stakeholder Management",Questions about managing changing requirements throughout ADM cycle
12,Architecture Principles,ADM Techniques,Primary Category,Defining; applying; and managing principles,15-20%,High,"Preliminary Phase,Architecture Vision,Trade-offs",Questions about establishing or applying architecture principles to decisions
